Entry Number,Filer Code,Importer Name,IOR Number,Entry Type,Entry Date,Port,Liquidation Status,Liquidation Date,Line,HTS,Entered Value,Duty Paid,IEEPA Duty,Reconciliation,Drawback,ADCVD,Open Protest
ABC-1000001-1,ABC,Gulf Coast Imports LLC,12-3456789,01,2025-06-15,5301,Unliquidated,,1,9903.01.25,50000,5000,5000,,,,
ABC-1000001-1,ABC,Gulf Coast Imports LLC,12-3456789,01,2025-06-15,5301,Unliquidated,,1,9903.01.25,50000,5000,5000,,,,
ABC1000002-2,ABC,Gulf Coast Imports LLC,12-3456789,01,2025-07-01,5301,Unliquidated,,1,9903.02.10,80000,8000,8000,,,,
BADFORMAT,ABC,Gulf Coast Imports LLC,12-3456789,01,2025-07-02,5301,Unliquidated,,1,9903.01.25,40000,4000,4000,,,,
XYZ-2000001-3,XYZ,Rival Broker Co,55-9988776,01,2025-08-01,5301,Unliquidated,,1,9903.01.25,60000,6000,6000,,,,
ABC-1000004-4,ABC,Bayou Trading Co,98-7654321,03,2025-07-22,5301,Unliquidated,,1,9903.01.25,30000,3000,3000,,,Y,
ABC-1000005-5,ABC,Lone Star Hardware,45-1122334,01,2025-08-30,5301,Liquidated,2025-09-15,1,9903.02.05,200000,20000,20000,,,,
ABC-1000006-6,ABC,Lone Star Hardware,45-1122334,01,2025-03-18,5301,Unliquidated,,1,7318.15.8085,15000,450,,,,,
ABC-1000007-7,ABC,Gulf Coast Imports LLC,12-3456789,01,2025-09-10,5301,Unliquidated,,1,9903.01.25,12000,1200,1200,,,,
ABC-1000008-8,ABC,Gulf Coast Imports LLC,,01,2025-09-12,5301,Unliquidated,,1,9903.01.25,22000,2200,2200,,,,
